year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains/parsis,total hindus,total sikhs,total shinto,total baha'i,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1985.00,Mideast,205699.00,2614480.00,4772352.00,214410.00,3380557.00,11187498.00,3165480.00,211032.00,140688.00,113374.00,3630574.00,200174588.00,60295362.00,899500.00,0.00,1202490.00,0.00,258440.00,262830380.00,0.00,0.00,35000.00,35000.00,0.00,82000.00,15000.00,0.00,7950.00,0.00,0.00,0.00,9000.00,4265733.00,22000.00,3443865.00,285507000.00,285529000.00,4834000000.00,1.10
1985.00,West. Hem,131529564.00,449070083.00,5733362.00,6779340.00,2478330.00,595590679.00,1414994.00,2255910.00,3179436.00,1672354.00,8522694.00,2378204.00,319464.00,0.00,0.00,0.00,0.00,284400.00,2982068.00,0.00,0.00,2013925.00,2013925.00,0.00,1592400.00,0.00,0.00,46920.00,1950.00,0.00,0.00,10002600.00,453731.00,33185698.00,11139356.00,632346323.00,655792000.00,4834000000.00,1.10
1990.00,Africa,64190743.00,86230560.00,21345712.00,24530704.00,69195730.00,265493449.00,0.00,0.00,0.00,142152.00,142152.00,19006292.00,55294.00,0.00,0.00,0.00,0.00,116352402.00,135413988.00,0.00,0.00,100263.00,100263.00,720.00,1762136.00,44358.00,0.00,1150689.00,0.00,57010.00,11306.00,57936.00,73843670.00,2896489.00,2848834.00,480926511.00,483823000.00,5313000000.00,1.10
1990.00,Asia,57440648.00,97213932.00,3244879.00,4869140.00,59802501.00,222571100.00,0.00,0.00,0.00,104493.00,104493.00,270317060.00,4264900.00,0.00,0.00,0.00,0.00,234213938.00,508795898.00,0.00,39303150.00,332095860.00,371399010.00,314540.00,656018252.00,18621706.00,94546096.00,2301416.00,5460945.00,3809813.00,1279073.00,459167251.00,103439157.00,561364124.00,8298871.00,2456127621.00,2937844992.00,5313000000.00,1.10
1990.00,Europe,104482885.00,288130151.00,108099811.00,26146960.00,20767737.00,547627544.00,0.00,0.00,0.00,4094416.00,4094416.00,0.00,0.00,0.00,0.00,0.00,0.00,43630843.00,43630843.00,0.00,0.00,1260132.00,1260132.00,610.00,545390.00,228000.00,0.00,100313.00,0.00,11531.00,9900.00,243791.00,970327.00,236076477.00,11143445.00,609866242.00,845942719.00,5313000000.00,1.10
1990.00,Mideast,818833.00,4910719.00,7744332.00,325884.00,2272383.00,16072151.00,3350310.00,184083.00,147266.00,64729.00,3746388.00,224829822.00,73787108.00,1095087.00,0.00,9123315.00,0.00,120000.00,308955332.00,0.00,0.00,114686.00,114686.00,500030.00,318199.00,48899.00,0.00,224304.00,0.00,0.00,0.00,28966.00,3276509.00,1641499.00,3027037.00,336312501.00,337954000.00,5313000000.00,1.10
1990.00,West. Hem,164839479.00,452042394.00,7536184.00,8081365.00,10817553.00,643316975.00,1045005.00,1742000.00,2310987.00,1684106.00,6782098.00,2244386.00,300371.00,0.00,0.00,0.00,0.00,339500.00,2884257.00,0.00,0.00,2373664.00,2373664.00,62501.00,1205851.00,258517.00,61724.00,1288261.00,423888.00,6410.00,0.00,9701954.00,652668.00,36292691.00,10963922.00,679982690.00,707106969.00,5313000000.00,1.10
1995.00,Africa,79905787.00,105118187.00,24093088.00,29167586.00,76505476.00,314790124.00,0.00,0.00,0.00,121360.00,121360.00,20999665.00,100790.00,0.00,0.00,0.00,0.00,142495298.00,163595753.00,0.00,0.00,66300.00,66300.00,782.00,1317227.00,40993.00,0.00,1246159.00,0.00,61627.00,0.00,48635.00,74918182.00,5092209.00,4358649.00,560565791.00,565658000.00,5670000000.00,1.10
1995.00,Asia,66184385.00,109255711.00,11265805.00,5317003.00,67756209.00,259779112.00,0.00,0.00,0.00,195111.00,195111.00,445529796.00,25290656.00,0.00,0.00,0.00,200000.00,135147937.00,606168389.00,0.00,41223800.00,366985753.00,408209553.00,247242.00,717365785.00,18492938.00,96076062.00,2435313.00,6283673.00,4014448.00,1223947.00,492135244.00,112240465.00,574222830.00,11549727.00,2736417009.00,3228425512.00,5670000000.00,1.10
1995.00,Europe,70685728.00,258950188.00,131764854.00,26230600.00,24375882.00,512007252.00,0.00,0.00,0.00,2565349.00,2565349.00,3784461.00,4747438.00,0.00,0.00,0.00,0.00,33010394.00,41542293.00,0.00,0.00,1497063.00,1497063.00,731.00,699215.00,294718.00,0.00,129783.00,0.00,13413.00,9562.00,302461.00,1232015.00,176181859.00,9476286.00,569770141.00,745952000.00,5670000000.00,1.10
